*ALLENJIN 	charmeleon	flamethrower

*stevens	eevee		tackle

bonnie 		ninetails	firespin
jeana 		drifloon	ominous wind
amys	 	togepi		metronome
connie 		farfetch'd	leek dance
bunneh 		butterfree	whirlwind
*charleschen	meowth		payday
jeffchen	kadabra		psychic
phillipchen	venonat		poison
*yeo 		electrode	lightning
*christine 	snorlax		body slam

*alice 		sandshrew	sandstorm
*charleslee 	dugtrio		fissure
mark mannnn	machamp		seismic toss
*jimmy 		marowak		bonemerang
allenjinsfriend	mewtwo		psybeam
andyo		mr mine		mimic

*olas 		lapras		surf

matth 		staryu		hydropump
*ellen 		psyduck		fury swipes
*allison	dratini		dragon rage
yanghongjian	seel		headbutt

timoth		horsea		sing
*james v	margicarp	splash

*neuhaus	porygon		skull bash
*hester		zapdos		thunderbolt
*halander	articuno	ice beam
*hubschmitt	moltres		fireblast

*noahtye	omanyte		bubble beam
